,metodo,f1-beta,hamming_score
rain_ref_rot_elastic1,MLTSVM,0.3713315975235781,0.2242
blur_rain_ref_rot_elastic1,MLTSVM,0.36096048685835247,0.2196
blur_rain_ref_rot_crop1_elastic1,MLTSVM,0.36189046139684733,0.2172
rain_ref_rot,MLTSVM,0.36246356985665856,0.2138
ref_rot,MLTSVM,0.3645490398988156,0.2125
elastic1,MLTSVM,0.3560159713945173,0.2121
blur_rain_ref_rot_crop1_randaug1_elastic1,MLTSVM,0.35711975488765685,0.2117
rot,MLTSVM,0.36253480636730817,0.2096
randaug1,MLTSVM,0.3185690016290435,0.2022
ref,MLTSVM,0.3448371006440207,0.199
blur,MLTSVM,0.3393925376948633,0.1967
gausblur1,MLTSVM,0.31453266847790073,0.1829
rain,MLTSVM,0.33447499828520477,0.1823
base,MLTSVM,0.2888839336946127,0.1719
mtnblur,MLTSVM,0.27510525615435794,0.1573
crop1,MLTSVM,0.25748900976082256,0.1447
