,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1366,0.1256,0.0825,0.6492,0.5862,0.7277,0.1366,0.8325,0.6482,0.3028,0.1546,0.031
BR_SVC,0.1005,0.1291,0.0912,0.5496,0.4275,0.7702,0.1005,0.6714,0.4601,0.1894,0.1018,0.0129
BR_DT,0.0464,0.122,0.1375,0.4974,0.5223,0.4748,0.0464,0.8041,0.5593,0.2719,0.0902,0.0309
BR_GNB,0.0026,0.1222,0.3382,0.3423,0.6758,0.2294,0.0026,0.8789,0.7075,0.3982,0.2088,0.0735
LP_LR,0.1804,0.1274,0.1091,0.569,0.553,0.5861,0.1804,0.7693,0.6057,0.2874,0.1559,0.0374
LP_SVC,0.1469,0.1297,0.1165,0.5061,0.4587,0.5648,0.1469,0.6907,0.4961,0.2178,0.1147,0.0181
LP_DT,0.0902,0.1253,0.139,0.4741,0.4801,0.4688,0.0902,0.7139,0.5103,0.2345,0.116,0.0361
LP_GNB,0.1276,0.1256,0.1239,0.488,0.4534,0.5284,0.1276,0.6869,0.4768,0.2345,0.0992,0.0219
CC_LR,0.1817,0.1272,0.0828,0.6574,0.6102,0.7128,0.1817,0.826,0.6727,0.3364,0.1766,0.0386
CC_SVC,0.1005,0.1274,0.091,0.5507,0.4282,0.7721,0.1005,0.6649,0.4652,0.1907,0.1044,0.0129
CC_DT,0.0554,0.1239,0.1417,0.4864,0.5151,0.4608,0.0554,0.7384,0.5503,0.2719,0.1327,0.0335
CC_GNB,0.0052,0.1222,0.2397,0.3793,0.5631,0.2862,0.0052,0.7951,0.5747,0.3132,0.1623,0.0464
RakelD_LR,0.1289,0.1256,0.0902,0.6252,0.5778,0.6812,0.1289,0.826,0.6392,0.3041,0.1418,0.0309
RakelD_SVC,0.107,0.1282,0.0911,0.5585,0.4427,0.7594,0.107,0.6907,0.4794,0.1959,0.1031,0.0155
RakelD_DT,0.0464,0.1218,0.1358,0.496,0.5136,0.4799,0.0464,0.8119,0.5425,0.2603,0.0915,0.0206
RakelD_GNB,0.0026,0.1222,0.2738,0.3796,0.6437,0.2693,0.0026,0.875,0.6804,0.3647,0.1843,0.0619
BRkNN,0.1379,0.124,0.1219,0.5382,0.5417,0.5349,0.1379,0.7665,0.5781,0.2877,0.1507,0.0441
MLkNN,0.1379,0.124,0.1219,0.5382,0.5417,0.5349,0.1379,0.7665,0.5781,0.2877,0.1507,0.0441
MLTSVM,0.0092,0.1944,0.2027,0.3213,0.3658,0.2865,0.0092,0.6811,0.3704,0.1434,0.0432,0.0074
